sex,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,life_main,people_main,occupation_type,career_start,career_end,result,age,num_langs
male,1,1.0,150.0,2012.0,Full-time,2.0,Student (Specialist),Українська;English,0,0,university,False,False,0,35.0,2
male,0,1.0,92.0,2011.0,Distance Learning,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,0,37.0,1
male,0,1.0,62.0,2012.0,Full-time,0.0,Alumnus (Specialist),Українська,0,6,university,False,False,0,37.0,1
female,0,1.0,179.0,1989.0,Full-time,4.0,PhD,Українська,False,False,university,False,False,0,58.0,1
male,0,1.0,74.0,2008.0,Full-time,7.0,Alumnus (Specialist),Українська,3,2,university,False,False,0,37.0,1
female,0,1.0,142.0,2009.0,,0.0,Alumnus (Specialist),False,0,0,work,2010,False,1,37.0,1
female,0,1.0,751.0,2021.0,,0.0,Student (Bachelor's),Українська,0,0,university,2018,False,1,37.0,1
male,0,1.0,112.0,2014.0,Distance Learning,4.0,PhD,Українська,1,2,university,2010,2015,0,35.0,1
female,1,1.0,318.0,2012.0,Full-time,4.0,Student (Bachelor's),False,0,0,work,2007,False,1,35.0,1
female,1,1.0,294.0,2018.0,Distance Learning,0.0,Student (Specialist),Українська,False,False,university,False,False,1,37.0,1
female,0,1.0,77.0,2011.0,Full-time,1.0,Student (Bachelor's),False,0,0,university,False,False,1,35.0,1
male,1,1.0,23.0,2007.0,Distance Learning,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,0,37.0,1
female,1,1.0,3148.0,2010.0,Part-time,6.0,Alumnus (Specialist),Українська,0,0,work,2007,False,1,37.0,1
male,1,1.0,86.0,2010.0,Full-time,4.0,Student (Specialist),False,False,False,university,False,False,0,40.0,1
male,0,1.0,89.0,2013.0,Full-time,4.0,Student (Bachelor's),Українська;English;Русский,6,2,university,False,False,0,37.0,3
male,1,1.0,243.0,2018.0,Distance Learning,0.0,Student (Specialist),False,0,0,university,False,False,0,37.0,1
male,1,1.0,322.0,2015.0,Part-time,4.0,Student (Bachelor's),Українська,0,2,university,False,False,0,32.0,1
male,0,1.0,212.0,2010.0,Full-time,0.0,Alumnus (Specialist),False,False,False,university,False,False,0,38.0,1
male,0,1.0,62.0,2006.0,Full-time,4.0,Alumnus (Specialist),Українська,5,2,university,2007,2011,0,42.0,1
male,1,1.0,86.0,1986.0,Full-time,1.0,Alumnus (Specialist),Українська,0,0,work,1980,False,0,37.0,1
male,1,1.0,76.0,2007.0,Distance Learning,1.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,37.0,1
male,1,1.0,68.0,2011.0,Full-time,4.0,Alumnus (Specialist),False,0,0,work,2006,False,0,37.0,1
female,0,1.0,606.0,2014.0,Full-time,0.0,Alumnus (Master's),False,False,False,university,False,False,1,37.0,1
female,1,1.0,172.0,2012.0,Full-time,0.0,Student (Specialist),Українська,0,2,university,False,False,1,37.0,1
male,0,1.0,69.0,2005.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,42.0,1
female,1,1.0,369.0,2007.0,Full-time,0.0,Alumnus (Specialist),False,False,False,work,2008,False,1,40.0,1
male,0,1.0,588.0,2011.0,Distance Learning,4.0,Alumnus (Specialist),Українська;Саха тыла,1,5,work,2007,False,0,37.0,2
male,1,1.0,217.0,2011.0,Distance Learning,0.0,Alumnus (Bachelor's),Українська;Русский;English,6,2,work,2009,False,0,36.0,3
female,0,1.0,2837.0,2006.0,Distance Learning,4.0,Alumnus (Specialist),Українська,False,False,work,2000,False,1,44.0,1
male,0,1.0,954.0,2015.0,Full-time,4.0,Student (Specialist),Українська,1,5,university,False,False,1,37.0,1
female,0,1.0,276.0,2017.0,Full-time,0.0,Student (Master's),False,0,0,university,False,False,1,33.0,1
male,0,1.0,64.0,2010.0,Full-time,1.0,Alumnus (Specialist),Українська;Русский;English,0,0,work,2014,False,1,36.0,3
male,1,1.0,213.0,0.0,Full-time,4.0,Student (Master's),Українська,1,2,university,False,False,0,37.0,1
male,0,1.0,0.0,1981.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,1984,2009,1,70.0,1
female,1,1.0,476.0,0.0,Full-time,0.0,Student (Specialist),Українська;English,False,False,university,False,False,1,37.0,2
male,0,1.0,305.0,2013.0,Full-time,6.0,Student (Specialist),Українська,6,0,university,False,False,0,37.0,1
female,0,1.0,1204.0,2016.0,Full-time,4.0,Student (Bachelor's),Українська;Deutsch;English,False,2,university,False,False,1,31.0,3
female,1,1.0,287.0,2009.0,Full-time,7.0,Alumnus (Specialist),Українська,0,0,work,2009,False,1,37.0,1
male,0,1.0,54.0,2014.0,Full-time,4.0,Undergraduate applicant,Українська,False,False,university,False,False,0,44.0,1
male,1,1.0,464.0,2011.0,Full-time,1.0,Student (Specialist),Українська,False,False,work,2007,2021,1,36.0,1
male,1,1.0,62.0,2001.0,Full-time,4.0,Alumnus (Specialist),False,0,0,university,False,False,0,47.0,1
male,0,1.0,78.0,2004.0,Distance Learning,4.0,Student (Specialist),Українська,1,5,university,False,False,0,37.0,1
female,1,1.0,172.0,0.0,Full-time,1.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,37.0,1
male,1,1.0,8.0,2016.0,Full-time,4.0,Alumnus (Bachelor's),Беларуская (тарашкевiца);Українська;English,6,2,work,2015,False,0,37.0,3
female,1,1.0,495.0,2021.0,Full-time,0.0,Student (Specialist),Українська;English,1,2,university,False,False,1,37.0,2
female,1,1.0,306.0,2016.0,Distance Learning,0.0,Alumnus (Bachelor's),Українська,0,0,university,False,False,1,33.0,1
male,1,1.0,78.0,2011.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,41.0,1
male,0,1.0,7363.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),English;Українська,0,0,university,False,False,0,37.0,2
female,1,1.0,303.0,2008.0,Full-time,0.0,Alumnus (Specialist),Українська;English,1,0,university,False,False,1,37.0,2
male,0,1.0,162.0,1989.0,Full-time,0.0,Alumnus (Specialist),Українська,6,1,university,False,False,1,37.0,1
female,0,1.0,182.0,1945.0,Full-time,0.0,PhD,Українська,0,0,university,False,False,1,98.0,1
male,0,1.0,20.0,1940.0,Distance Learning,1.0,Undergraduate applicant,False,6,0,university,False,False,0,36.0,1
male,1,1.0,44.0,2003.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,university,2006,2006,1,37.0,1
male,1,1.0,453.0,2009.0,Full-time,2.0,Student (Specialist),Українська;Татарча,0,0,,False,False,0,34.0,2
male,1,1.0,438.0,1999.0,Full-time,4.0,Alumnus (Specialist),False,False,False,work,2002,False,1,49.0,1
male,1,1.0,151.0,2017.0,Full-time,0.0,Student (Bachelor's),False,7,5,university,False,False,0,37.0,1
female,1,1.0,307.0,2015.0,Full-time,0.0,Student (Master's),Українська,0,0,work,False,False,1,37.0,1
male,0,1.0,133.0,2011.0,Full-time,0.0,Student (Specialist),Українська,0,0,university,False,False,0,36.0,1
female,0,1.0,539.0,2018.0,Full-time,1.0,Student (Master's),False,1,2,work,False,False,1,30.0,1
female,1,1.0,105.0,2010.0,Full-time,4.0,Student (Specialist),Українська;English,1,2,work,False,False,1,37.0,2
male,1,1.0,561.0,2009.0,Distance Learning,0.0,Alumnus (Specialist),Українська,5,6,university,False,False,1,37.0,1
male,0,1.0,580.0,0.0,Full-time,1.0,Student (Bachelor's),Українська;Башҡортса;English;Français,6,6,university,2013,2015,1,32.0,4
female,0,1.0,19.0,2005.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,37.0,1
male,1,1.0,2314.0,0.0,Part-time,1.0,Student (Specialist),Українська,5,2,work,2017,False,0,37.0,1
female,0,1.0,44.0,2011.0,Distance Learning,4.0,Student (Specialist),Українська,0,0,work,2008,False,1,43.0,1
female,1,1.0,337.0,2015.0,Full-time,4.0,Student (Specialist),False,0,0,university,False,False,1,33.0,1
female,1,1.0,97.0,0.0,Full-time,1.0,Student (Specialist),Українська,0,0,university,False,False,1,37.0,1
female,0,1.0,101.0,2012.0,Full-time,4.0,Alumnus (Specialist),Українська,1,2,,False,False,1,35.0,1
male,0,1.0,370.0,2014.0,Full-time,1.0,Alumnus (Specialist),Українська;English;Русский,6,1,university,2007,2016,0,37.0,3
female,0,1.0,1313.0,2011.0,Full-time,4.0,Alumnus (Specialist),Українська,1,2,university,2011,2018,0,37.0,1
female,0,1.0,2269.0,2009.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,38.0,1
male,0,1.0,95.0,2009.0,Full-time,4.0,Student (Specialist),False,1,2,work,2009,False,0,35.0,1
female,1,1.0,204.0,2018.0,Full-time,1.0,Student (Specialist),Українська,False,False,university,False,False,1,30.0,1
female,0,1.0,351.0,0.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,2003,2010,1,37.0,1
male,0,1.0,201.0,2006.0,Full-time,0.0,Alumnus (Master's),Українська,6,3,university,False,False,0,41.0,1
female,0,1.0,116.0,2006.0,Distance Learning,0.0,Alumnus (Specialist),False,False,False,university,False,False,1,37.0,1
male,1,1.0,127.0,2014.0,Full-time,1.0,Student (Master's),False,0,0,university,False,False,1,34.0,1
male,0,1.0,41.0,0.0,Full-time,1.0,Alumnus (Master's),Українська,0,0,,False,False,0,37.0,1
male,1,1.0,73.0,2005.0,Full-time,4.0,Alumnus (Specialist),False,False,False,university,False,False,0,42.0,1
female,1,1.0,634.0,2013.0,Distance Learning,0.0,Alumnus (Master's),False,0,0,university,False,False,1,37.0,1
female,1,1.0,1191.0,2012.0,Full-time,4.0,Alumnus (Master's),False,False,False,university,False,False,1,37.0,1
male,1,1.0,110.0,2013.0,Full-time,0.0,Alumnus (Specialist),Українська;English;Français,6,6,work,2012,False,1,35.0,3
male,1,1.0,72.0,2015.0,Full-time,0.0,Alumnus (Bachelor's),False,6,6,work,2017,False,0,32.0,1
male,0,1.0,154.0,2014.0,Full-time,1.0,Student (Specialist),Українська,6,2,university,False,False,0,33.0,1
male,0,1.0,33.0,2011.0,,0.0,Alumnus (Master's),Українська;Русский;English,False,False,university,False,False,0,37.0,3
male,0,1.0,401.0,2011.0,Full-time,1.0,Student (Specialist),Українська,0,0,university,False,False,0,36.0,1
female,1,1.0,145.0,2013.0,Full-time,0.0,Student (Specialist),False,0,0,university,False,False,1,37.0,1
